Severity,Issue,Validation,URLs
Need improvement,LCP issue: longer than 2.5s (mobile),Not Started,38
Poor,LCP issue: longer than 4s (mobile),N/A,0
Need improvement,INP issue: longer than 200ms (mobile),N/A,0
