# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: WMC
# Property: https://www.neothink.com/
# ----------------------------------------
# 
# All Users
# Start date: 20240925
# End date: 20250925
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Referral,20781,16928,0.814590250709783,45.295077234011835,3.070497088686781,63808,22345,0.7808093931957076,0
Paid Search,10197,10153,0.9956850053937433,10.737373737373737,3.768853584387565,38431,12592,0.9956850053937433,0
Organic Search,5637,5314,0.9427000177399326,117.96221394358702,6.494234521908817,36608,12696,0.9411034238069895,0
Direct,4303,4176,0.9704857076458285,61.85986521031838,6.78015338136184,29175,11721,0.9693237276318847,0
Organic Social,492,475,0.9654471544715447,36.363821138211385,4.9939024390243905,2457,819,0.9654471544715447,0
Organic Video,463,446,0.9632829373650108,101.11015118790496,6.462203023758099,2992,1067,0.9611231101511879,0
Unassigned,179,13,0.07262569832402235,179.8659217877095,5.715083798882682,1023,480,0.6201117318435754,0
Cross-network,91,91,1,19.24175824175824,4.824175824175824,439,181,1,0
Email,74,72,0.972972972972973,80.83783783783784,5.702702702702703,422,142,0.9594594594594594,0
