# ----------------------------------------
# Tech overview
# Account: WMC
# Property: https://www.neothink.com/
# ----------------------------------------
#  
412x821,2
412x841,2
412x906,2
420x934,2
424x918,2
424x945,2
424x965,2
432x964,2
434x965,2
444x1010,2
444x993,2
450x1000,2
451x722,2
453x887,2
458x766,2
485x1084,2
486x1079,2
528x1174,2
590x736,2
604x1007,2
641x1024,2
674x842,2
700x1512,2
720x1544,2
783x336,2
820x615,2
833x385,2
854x480,2
869x412,2
873x393,2
880x360,2
942x424,2
960x540,2
1000x600,1
1002x741,1
1003x669,1
1013x570,1
1016x572,1
1024x1218,1
1024x1536,1
1024x576,1
1024x600,1
1041x586,1
1051x591,1
1055x594,1
1058x596,1
1060x596,1
1067x800,1
1075x672,1
1078x674,1
1080x2240,1
1080x2270,1
1080x2300,1
1080x2312,1
1080x2400,1
1080x600,1
1080x810,1
1082x609,1
1088x615,1
1093x614,1
1120x700,1
1123x632,1
1125x2436,1
1133x638,1
1138x639,1
1138x712,1
1139x640,1
1147x645,1
1150x647,1
1152x720,1
1152x741,1
1158x759,1
1161x1229,1
1165x655,1
1166x545,1
1168x657,1
1184x666,1
1188x668,1
1192x1590,1
1193x671,1
1199x445,1
1199x674,1
1200x675,1
1200x800,1
1201x676,1
1205x545,1
1208x755,1
1216x760,1
1220x1280,1
1228x691,1
1229x820,1
1230x692,1
1231x693,1
1233x822,1
1235x1229,1
1244x688,1
1250x1000,1
1250x750,1
1264x376,1
1264x711,1
1270x715,1
1272x716,1
1275x894,1
1278x622,1
1280x634,1
1280x832,1
1280x853,1
1287x1329,1
1300x731,1
1301x732,1
1302x733,1
1307x735,1
1316x640,1
1316x740,1
1317x823,1
1322x764,1
1344x756,1
1352x878,1
1353x846,1
1360x765,1
1362x852,1
1368x768,1
1372x772,1
1373x1211,1
1382x864,1
1389x781,1
1391x1211,1
1397x786,1
1400x1050,1
1400x700,1
1400x876,1
1400x900,1
1408x768,1
1408x792,1
1423x889,1
1440x1080,1
1440x2992,1
1440x3200,1
1440x874,1
1455x1211,1
1455x819,1
1463x823,1
1463x915,1
1467x825,1
1475x830,1
1476x830,1
1490x838,1
1494x824,1
1496x967,1
1499x324,1
1500x844,1
1503x902,1
1504x1229,1
1517x852,1
1517x853,1
1524x858,1
1525x858,1
1536x784,1
1561x879,1
1563x879,1
1600x915,1
1603x902,1
1624x1015,1
1658x1105,1
1664x1110,1
1676x943,1
1677x943,1
1680x1080,1
1680x945,1
1705x545,1
1715x966,1
1739x1087,1
1739x979,1
1746x982,1
1756x1098,1
1762x991,1
1768x992,1
1778x1000,1
1797x1011,1
1800x1000,1
1824x1036,1
1829x1029,1
1835x774,1
1838x759,1
1847x1039,1
1866x764,1
1880x511,1
1880x741,1
1900x1080,1
1901x1070,1
1920x919,1
2002x838,1
2007x840,1
2048x1080,1
2170x1221,1
2246x1264,1
2304x1296,1
2341x980,1
2351x984,1
2364x1330,1
2389x1000,1
2560x1441,1
2560x1664,1
264x759,1
270x540,1
2731x1440,1
2752x1153,1
276x583,1
276x613,1
288x624,1
288x640,1
2926x823,1
2992x1253,1
309x652,1
320x449,1
320x490,1
320x501,1
320x503,1
320x520,1
320x533,1
320x544,1
320x548,1
320x578,1
320x586,1
320x611,1
320x624,1
320x664,1
320x719,1
320x759,1
320x820,1
321x708,1
324x579,1
324x672,1
324x702,1
324x720,1
325x534,1
325x632,1
328x730,1
3308x1385,1
330x381,1
330x759,1
3360x1440,1
3360x1890,1
339x551,1
339x563,1
339x582,1
339x655,1
339x662,1
340x564,1
340x592,1
340x594,1
340x664,1
340x683,1
340x690,1
340x752,1
340x753,1
3413x960,1
3414x1440,1
341x563,1
342x741,1
342x760,1
343x786,1
345x690,1
345x706,1
345x802,1
346x511,1
346x692,1
346x793,1
346x807,1
347x695,1
347x752,1
347x807,1
350x622,1
353x706,1
353x745,1
354x786,1
355x788,1
355x793,1
356x569,1
358x790,1
358x794,1
360x0,1
360x581,1
360x601,1
360x605,1
360x612,1
360x620,1
360x626,1
360x634,1
360x636,1
360x637,1
360x657,1
360x660,1
360x666,1
360x668,1
360x682,1
360x684,1
360x702,1
360x703,1
360x722,1
360x726,1
360x738,1
360x754,1
360x757,1
360x773,1
361x642,1
362x620,1
364x800,1
366x499,1
366x610,1
372x827,1
375x828,1
375x866,1
376x668,1
376x752,1
376x814,1
376x919,1
377x670,1
377x795,1
377x839,1
377x858,1
378x840,1
381x803,1
381x867,1
3840x1200,1
384x563,1
384x613,1
384x640,1
384x656,1
384x657,1
384x661,1
384x677,1
384x708,1
384x717,1
384x723,1
384x730,1
384x752,1
384x757,1
384x758,1
384x773,1
384x778,1
384x784,1
384x813,1
384x853,1
384x896,1
384x939,1
385x811,1
385x897,1
388x759,1
393x808,1
393x818,1
393x864,1
393x869,1
393x875,1
395x877,1
395x884,1
396x760,1
399x689,1
399x789,1
400x547,1
402x1030,1
405x809,1
407x884,1
408x907,1
4096x2160,1
410x445,1
410x759,1
412x0,1
412x1047,1
412x11068,1
412x640,1
412x713,1
412x716,1
412x718,1
412x720,1
412x736,1
412x737,1
412x739,1
412x749,1
412x775,1
412x785,1
412x806,1
412x809,1
412x816,1
412x833,1
412x835,1
412x8670,1
412x919,1
414x828,1
414x886,1
414x920,1
418x976,1
422x565,1
424x932,1
424x946,1
424x949,1
424x971,1
425x1095,1
425x599,1
425x815,1
427x760,1
427x854,1
428x917,1
437x970,1
444x985,1
450x1025,1
4523x1272,1
452x744,1
452x780,1
452x799,1
457x773,1
458x1016,1
458x732,1
459x756,1
460x759,1
462x759,1
475x759,1
483x809,1
485x1049,1
486x1052,1
486x1090,1
486x1187,1
486x941,1
496x725,1
501x1114,1
512x1312,1
513x445,1
