# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: WMC
# Property: https://www.neothink.com/
# ----------------------------------------
# 
# All Users
# Start date: 20240909
# End date: 20250909
First user primary channel group (Default Channel Group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Paid Search,9313,9344,397,11.78039089347079,1.0731314432989691,37895,12407,1
Referral,3846,3735,1236,218.01047668936616,3.566265060240964,52417,18115,0.8708748035620744
Organic Search,3645,3634,742,170.999451303155,1.566803840877915,36718,12703,1
Direct,3541,3448,540,141.9424766222726,2.203457069991499,44392,17374,0.9875318787191839
Organic Social,443,432,32,45.81321184510251,1.398633257403189,2964,1009,0.9954441913439636
Organic Video,298,284,69,176.40878378378378,2.2837837837837838,4127,1509,0.9966216216216216
Cross-network,133,132,11,15.526315789473685,1.255639097744361,719,288,1
Email,55,55,7,85.47272727272727,1.1818181818181819,372,124,1
Unassigned,17,5,1,164.7058823529412,0.4117647058823529,66,20,0.4117647058823529
