# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: WMC
# Property: https://www.neothink.com/
# ----------------------------------------
# 
# All Users
# Start date: 20240909
# End date: 20250909
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Referral,21317,17338,0.8133414645588029,46.30356053853732,3.057372050476146,65174,22934,0.7817235070600929,0
Paid Search,10067,10025,0.9958279527167975,10.853978345087912,3.776894804807788,38022,12470,0.9958279527167975,0
Organic Search,5634,5323,0.9447994320198793,116.36084487042953,6.606496272630458,37221,12921,0.9433794817181399,0
Direct,4599,4443,0.9660795825179387,61.65970863231137,6.699065014133507,30809,12167,0.9647749510763209,0
Organic Social,550,531,0.9654545454545455,35.62,5.161818181818182,2839,945,0.9654545454545455,0
Organic Video,541,522,0.9648798521256932,93.24029574861368,6.5378927911275415,3537,1259,0.9630314232902033,0
Unassigned,205,12,0.05853658536585366,170.80975609756098,5.278048780487805,1082,500,0.5853658536585366,0
Cross-network,132,132,1,14,4.5,594,222,1,0
Email,66,64,0.9696969696969697,87.84848484848484,5.9393939393939394,392,131,0.9545454545454546,0
